trans_type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud,trans_datetime
 CASH_IN,2346.34,C334,82020,84254.66,C1060,93829,95213.34,0,0,13/04/2022 07:17
transfer,6583.73,C568,39713,36140.27,C1184,108497,114102.73,0,0,28/09/2022 00:04
payment ,4564.71,C176,67936,60706.29,C1906,150193,158093.71,0,0,17/04/2022 04:10
payment ,848.12,C823,44331,42156.88,C1146,5493,3975.12,0,0,13/03/2022 21:00
CASHOUT,7372.85,C567,22185,33027.21,C1074,102181,154828.8,0,0,02/12/2023 10:36
 CASH_IN,299.19,C408,84263,79463.81,C1472,67818,72109.19,0,0,21/01/2022 23:37
transfer,10056.15,C776,98656,93452.85,C1000,120196,126737.15,0,0,07/09/2023 09:29
 CASH_IN,4595.41,C236,52107,50594.59,C1415,1431,3849.41,0,0,02/05/2022 17:09
TRANSFER,6156.25,C277,66554,63691.75,C1468,191541,193369.25,0,0,12/04/2023 06:45
Cash_Out,104,C76,17563,18002,C1364,193313,192839,0,0,03/08/2022 08:43
payment ,17517.79,C932,70729,50957.21,C1844,176366,190297.79,0,0,27/11/2022 04:34
Transfeer,8932.15,C635,15701,5044.85,C1673,100079,110126.15,0,0,04/04/2023 08:19
PAYMENT,1193.44,C539,69072,65963.56,C1016,142423,142510.44,0,0,29/03/2022 13:08
transfer,6583.73,C568,39713,36140.27,C1184,108497,114102.73,0,0,08/01/2023 23:48
TRANSFER,1003.39,C653,48217,47948.61,C1509,163555,163404.39,0,0,10/04/2022 15:56
payment ,5731.53,C157,44610,15059.14,C1754,31195,34480.43,0,0,26/10/2023 04:46
Cash_Out,1813.77,C166,84422,84221.23,C1438,153807,152644.77,0,0,11/05/2022 01:04
 CASH_IN,3719.64,C184,50131,42738.36,C1878,15203,15279.64,0,0,24/10/2023 03:01
transfer,2827.69,C388,29410,29354.31,C1530,3974,9277.69,0,0,05/11/2022 13:30
payment ,1721.11,C11,99280,102429.89,C1841,102769,107538.11,0,0,10/12/2022 18:21
TRANSFER,4731.85,C930,58715,52729.15,C1937,85222,85521.85,0,0,07/05/2023 22:34
 CASH_IN,751.17,C168,38665,38597.83,C1058,170785,173026.17,0,0,18/02/2023 00:22
transfer,1727.58,C830,15957,11791.42,C1712,12636,16832.58,0,0,21/01/2023 12:32
payment ,2281.39,C425,48127,45008.61,C1114,35070,34296.39,0,0,11/07/2022 11:18
CASHOUT,3044.67,C892,63589,58861.33,C1202,29123,35705.67,0,0,04/10/2022 15:44
Cash_Out,7689.68,C448,46008,35754.32,C1805,120973,124069.68,0,0,10/06/2022 13:25
 CASH_IN,4595.41,C236,52107,50594.59,C1415,1431,3849.41,0,0,10/11/2022 15:47
TRANSFER,3610.15,C448,32875,32763.85,C1193,159832,167247.15,0,0,22/01/2022 02:48
 CASH_IN,237.82,C765,90815,86666.18,C1105,118414,121948.82,0,0,15/07/2023 02:57
transfer,4676.67,C426,63822,58700.33,C1878,83962,85856.67,0,0,20/04/2023 16:45
transfer,934.81,C955,71765,68224.19,C1964,79698,83343.81,0,0,28/02/2022 09:59
CASHOUT,336.32,C915,72413,73544.68,C1817,147130,146823.32,0,0,26/05/2023 12:19
transfer,14868.44,C97,33642,17777.56,C1125,41482,51843.44,0,0,13/11/2023 21:40
transfer,16853.15,C630,38311,17123.85,C1413,2998,18719.15,0,0,21/04/2023 21:21
 CASH_IN,8261.66,C225,32356,24812.34,C1614,122659,130305.66,0,0,01/12/2023 19:37
PAYMENT,1816.44,C446,3809,2144.56,C1674,61265,63514.44,0,0,09/07/2022 12:14
PAYMENT,513.89,C886,43371,40091.11,C1509,66445,68186.89,0,0,18/11/2023 17:40
TRANSFER,5763.75,C663,34875,30446.25,C1500,111033,113234.75,0,0,17/07/2023 12:18
TRANSFER,2900.45,C475,9465,2800.55,C1826,165720,164972.45,0,0,21/07/2023 20:52
transfer,650.76,C202,66095,62067.24,C1120,191695,195581.76,0,0,01/09/2022 09:39
payment ,3417.74,C967,73844,66800.26,C1751,78033,81360.74,0,0,20/05/2023 23:17
Cash_Out,174.97,C674,65250,67350.03,C1912,84480,82034.97,0,0,11/05/2022 22:22
TRANSFER,12002.11,C296,86889,76245.89,C1606,138599,150161.11,0,0,30/04/2023 17:47
transfer,1497.29,C633,15250,8928.71,C1961,104000,100696.29,0,0,09/10/2023 06:42
payment ,5431.28,C15,46023,45136.72,C1207,134144,138999.28,0,0,21/01/2022 03:09
payment ,1867.73,C377,46624,46460.27,C1660,143090,147804.73,0,0,16/06/2022 20:30
PAYMENT,3670.55,C335,16427,10684.45,C1349,29652,33119.55,0,0,01/10/2022 03:58
payment ,3956.12,C617,33276,33136.88,C1819,4476,10232.12,0,0,23/01/2023 20:30
CASHOUT,1520.85,C773,71643,76974.53,C1192,95768,176044.53,0,0,24/08/2023 11:46
PAYMENT,17464.04,C19,79012,64161.96,C1653,158554,177038.04,0,0,12/11/2022 09:45
CASHOUT,14025.47,C243,85848,71096.53,C1822,16219,27651.47,0,0,30/08/2022 14:29
 CASH_IN,11260.76,C243,87331,79656.24,C1392,30448,42205.76,0,0,12/12/2022 13:50
 CASH_IN,4555.27,C970,78672,78476.73,C1496,156192,159538.27,0,0,19/07/2023 13:24
PAYMENT,12747.18,C391,79703,66926.82,C1391,6855,17895.18,0,0,06/12/2022 08:54
TRANSFER,463.28,C723,17300,20225.72,C1712,187625,185934.28,0,0,02/04/2022 18:51
PAYMENT,1090.67,C735,60289,55166.33,C1673,199705,203637.67,0,0,02/01/2023 06:04
CASHOUT,231.41,C864,17182,15105.59,C1108,175657,177396.41,0,0,31/03/2023 22:32
transfer,1967.66,C261,70507,68303.34,C1928,132156,132434.66,0,1,04/03/2023 21:27
transfer,2460.65,C219,50912,45955.35,C1469,98856,105945.65,0,0,24/05/2023 08:05
transfer,1582.8,C7,26909,27969.2,C1349,153016,149724.8,0,0,04/02/2022 17:30
 CASH_IN,8822.79,C445,19659,15304.21,C1774,164993,174421.79,0,0,25/07/2022 13:45
CASHOUT,2206.13,C13,31403,30202.87,C1721,61282,68300.13,0,0,22/03/2022 08:06
CASHOUT,1649.01,C386,33586,34898.99,C1148,87393,91736.01,0,0,16/07/2023 23:43
TRANSFER,3912.04,C641,10360,9390.96,C1255,182469,184700.04,0,0,23/01/2023 00:36
CASHOUT,759.49,C21,21424,16933.51,C1388,129822,134254.49,0,0,02/01/2022 06:03
payment ,8102.42,C224,98035,86296.58,C1198,18070,26603.42,0,0,25/01/2023 12:28
transfer,387.38,C234,48791,50119.62,C1907,186059,185824.38,0,0,20/07/2023 12:31
